index,train_wiki40b_en,train_wiki40b_fr,train_wiki40b_de,train_wiki40b_es,train_wiki40b_it,train_wiki40b_ru
125,0.0,0.4206,0.5662,0.0,0.0,0.0134
126,0.2092,0.0734,0.0128,0.3072,0.2524,0.1448
127,0.1632,0.0,0.0,0.8368,0.0,0.0
128,0.0014,0.0,0.0,0.711,0.0,0.2876
129,0.2424,0.0996,0.0078,0.6434,0.0,0.0068
130,0.1272,0.1874,0.0016,0.0,0.4954,0.1886
131,0.802,0.006,0.1558,0.0,0.0,0.0362
132,0.0084,0.5184,0.0496,0.4232,0.0004,0.0
133,0.9608,0.0,0.0,0.0,0.0348,0.0044
134,0.0496,0.0,0.0184,0.932,0.0,0.0
135,0.997,0.0,0.0002,0.0028,0.0,0.0
136,0.4246,0.0526,0.0044,0.5184,0.0,0.0
137,0.0328,0.0004,0.0462,0.743,0.002,0.1756
138,0.017,0.0,0.0,0.0102,0.9728,0.0
139,0.6616,0.0,0.3282,0.0,0.0,0.01
140,0.1544,0.0006,0.751,0.0914,0.0,0.0024
141,0.2154,0.0,0.0044,0.0,0.0,0.7802
142,0.0,0.0,0.0328,0.0,0.3566,0.6106
143,0.4092,0.5846,0.0,0.0,0.0062,0.0
144,0.0,0.9362,0.0638,0.0,0.0,0.0
145,0.5248,0.4674,0.0,0.0,0.0,0.0078
146,0.2454,0.2946,0.0494,0.3552,0.0554,0.0
147,0.0122,0.0052,0.4128,0.0672,0.5026,0.0
148,0.5044,0.0338,0.1798,0.2536,0.0,0.0282
149,0.9862,0.0004,0.0,0.0,0.0,0.0134
150,0.0898,0.1242,0.2144,0.019,0.0,0.5526
151,0.1176,0.2024,0.0026,0.3556,0.063,0.259
152,0.1856,0.101,0.034,0.2304,0.2596,0.1894
153,0.0304,0.4798,0.3094,0.0046,0.176,0.0
154,0.0346,0.1688,0.3778,0.0406,0.2124,0.1656
155,0.1378,0.6542,0.2036,0.0036,0.0,0.001
156,0.6032,0.0,0.0,0.3962,0.0004,0.0004
157,0.1086,0.0152,0.0018,0.8744,0.0,0.0
158,0.0242,0.0022,0.0094,0.0474,0.9168,0.0
159,0.0762,0.247,0.3394,0.0008,0.0,0.3366
160,0.0008,0.0034,0.0014,0.0,0.0042,0.99
161,0.0116,0.448,0.5398,0.0,0.0,0.0006
162,0.0,0.0,0.1566,0.018,0.0,0.8254
163,0.2778,0.1692,0.0524,0.1822,0.3174,0.001
164,0.15,0.331,0.0786,0.1094,0.0678,0.2634
165,0.0436,0.0012,0.11,0.0,0.0,0.8452
166,0.0,0.0,0.0,0.0,0.9954,0.0046
167,0.0374,0.0076,0.469,0.0,0.0,0.486
168,0.3026,0.1574,0.014,0.0,0.5258,0.0002
169,0.7392,0.0842,0.123,0.019,0.026,0.0086
170,0.3278,0.0,0.0264,0.0024,0.0,0.6434
171,0.043,0.0932,0.0,0.0,0.0,0.8638
172,0.51,0.4608,0.0,0.0,0.0292,0.0
173,0.001,0.997,0.0,0.0022,0.0,0.0
174,0.4582,0.279,0.0706,0.0934,0.0112,0.0876
175,0.7294,0.06,0.0,0.2106,0.0,0.0
176,0.3388,0.1558,0.0584,0.0088,0.2022,0.236
177,0.1156,0.4138,0.4664,0.0,0.001,0.0032
178,0.085,0.0538,0.0464,0.3014,0.4932,0.0202
179,0.0,0.9636,0.0092,0.0,0.0006,0.0266
180,0.9186,0.0,0.0802,0.0,0.0006,0.0006
181,0.2368,0.3236,0.1788,0.2094,0.0014,0.05
182,0.0,0.0,0.9908,0.0,0.0092,0.0
183,0.2826,0.0026,0.002,0.0286,0.6804,0.0036
184,0.126,0.7852,0.0,0.0852,0.0,0.0036
185,0.0004,0.002,0.8014,0.0,0.1962,0.0
186,0.4564,0.0,0.264,0.2662,0.0012,0.012
187,0.4478,0.359,0.0002,0.0974,0.019,0.0766
188,0.0486,0.0024,0.5738,0.0,0.218,0.1572
189,0.7662,0.224,0.0098,0.0,0.0,0.0
190,0.984,0.0154,0.0006,0.0,0.0,0.0
191,0.146,0.0982,0.0854,0.2118,0.4282,0.0302
192,0.4606,0.0242,0.0222,0.012,0.0046,0.4764
193,0.8386,0.0618,0.0,0.0,0.0158,0.0838
194,0.7444,0.0004,0.0006,0.0022,0.2292,0.0232
195,0.0508,0.0,0.0,0.3868,0.0,0.5624
196,0.6564,0.2364,0.0232,0.0214,0.006,0.0566
197,0.0014,0.0702,0.181,0.0008,0.7466,0.0
198,0.0664,0.0,0.7952,0.0,0.1386,0.0
199,0.1308,0.442,0.2458,0.0818,0.068,0.0314
200,0.4474,0.007,0.0518,0.4642,0.0296,0.0
201,0.1068,0.0,0.8932,0.0,0.0,0.0
202,0.0268,0.0268,0.0102,0.9364,0.0,0.0
203,0.0766,0.685,0.0,0.2382,0.0,0.0002
204,0.0514,0.3448,0.3468,0.2222,0.004,0.0308
205,0.321,0.3064,0.1228,0.0724,0.0772,0.1
206,0.3056,0.0162,0.639,0.007,0.0306,0.0016
207,0.114,0.0,0.3154,0.4298,0.1288,0.012
208,0.0764,0.0,0.0,0.0,0.9046,0.019
209,0.0058,0.0142,0.688,0.0068,0.116,0.1692
210,0.0632,0.163,0.0398,0.1606,0.0004,0.5732
211,0.6156,0.0,0.0,0.3844,0.0,0.0
212,0.0072,0.0086,0.014,0.0742,0.8924,0.0036
213,0.0,0.6662,0.0,0.3318,0.0,0.002
214,0.3614,0.0,0.0,0.0,0.0,0.6386
215,0.3832,0.0338,0.0008,0.088,0.488,0.0062
216,0.0974,0.9026,0.0,0.0,0.0,0.0
217,0.9772,0.0,0.0,0.0,0.0006,0.0222
218,0.936,0.0,0.0,0.0,0.0388,0.0252
219,0.0,0.003,0.0004,0.0,0.0,0.9966
220,0.063,0.0,0.937,0.0,0.0,0.0
221,0.427,0.0,0.0,0.0,0.0,0.573
222,0.8906,0.0006,0.0,0.0,0.0,0.1086
223,0.063,0.293,0.0522,0.2372,0.0938,0.261
224,0.0,0.0038,0.0,0.0852,0.001,0.91
225,0.0,0.1592,0.15,0.0182,0.6726,0.0
226,0.0966,0.05,0.064,0.0998,0.0778,0.6118
227,0.246,0.4206,0.3282,0.0052,0.0,0.0
228,0.1002,0.2266,0.028,0.3664,0.2594,0.0194
229,0.3688,0.0,0.0004,0.5172,0.0,0.1136
230,0.0,0.0002,0.0,0.745,0.189,0.0658
231,0.0,0.4388,0.5612,0.0,0.0,0.0
232,0.194,0.3642,0.1058,0.145,0.0,0.191
233,0.0588,0.0,0.0004,0.0,0.0,0.941
234,0.573,0.1016,0.163,0.049,0.011,0.1026
235,0.0,0.0198,0.0,0.9802,0.0,0.0
236,0.012,0.061,0.0,0.0,0.927,0.0
237,0.0002,0.0002,0.0,0.0452,0.9542,0.0
238,0.0,0.0622,0.0006,0.0044,0.0,0.9328
239,0.9946,0.0,0.0,0.0018,0.0,0.0036
240,0.2904,0.0014,0.3242,0.0782,0.0142,0.292
241,0.497,0.0088,0.0984,0.251,0.0,0.1448
242,0.9836,0.0,0.0,0.0,0.0164,0.0
243,0.8856,0.0,0.0734,0.0048,0.0022,0.034
244,0.596,0.0002,0.0452,0.2548,0.0792,0.0244
245,0.5026,0.004,0.2516,0.0,0.0,0.2418
246,0.0182,0.0,0.0956,0.8804,0.006,0.0
247,0.987,0.0,0.0,0.0068,0.0,0.0062
248,0.0,0.002,0.9954,0.0028,0.0,0.0
249,0.0016,0.1848,0.156,0.6466,0.0,0.011
250,0.0112,0.0,0.9312,0.0014,0.0562,0.0
251,0.3406,0.0,0.0,0.0308,0.6286,0.0
252,0.1854,0.198,0.2724,0.2164,0.0064,0.1212
253,0.0014,0.0006,0.9958,0.0,0.0,0.0022
254,0.0008,0.6388,0.3604,0.0,0.0,0.0
255,0.025,0.0004,0.1712,0.0076,0.0008,0.7948
256,0.1212,0.0,0.0,0.0006,0.0,0.8782
257,0.2602,0.1046,0.1038,0.0232,0.2042,0.304
258,0.6044,0.0042,0.279,0.0522,0.0302,0.0302
259,0.018,0.0732,0.899,0.0,0.0006,0.0094
260,0.0,0.0,0.0,0.8964,0.1036,0.0
261,0.1728,0.5206,0.0,0.0264,0.0684,0.2118
262,0.1658,0.2234,0.0866,0.078,0.1502,0.296
263,0.049,0.0,0.9446,0.0,0.0,0.0064
264,0.1126,0.0102,0.048,0.4254,0.0404,0.3632
265,0.872,0.0022,0.0798,0.0,0.046,0.0
266,0.0,0.0,0.9772,0.0228,0.0,0.0
267,0.0698,0.0364,0.1068,0.1648,0.6224,0.0
268,0.0092,0.8922,0.0284,0.0332,0.0,0.0372
269,0.0046,0.0,0.9538,0.0104,0.0312,0.0
270,0.366,0.0172,0.314,0.1544,0.03,0.1184
271,0.0,0.8368,0.0238,0.1392,0.0,0.0
272,0.068,0.648,0.2616,0.0004,0.0006,0.0214
273,0.8044,0.1386,0.0,0.0572,0.0,0.0
274,0.855,0.0,0.0,0.1222,0.023,0.0
275,0.0,0.0022,0.9854,0.004,0.0,0.0086
276,0.0,0.0,0.3054,0.0,0.001,0.6936
277,0.001,0.0,0.0034,0.9956,0.0,0.0
278,0.1944,0.4282,0.0774,0.034,0.056,0.2102
279,0.6236,0.3722,0.0028,0.0,0.0012,0.0
280,0.4386,0.4776,0.017,0.018,0.0,0.0486
281,0.2626,0.0008,0.5326,0.0016,0.03,0.1724
282,0.9534,0.0,0.0014,0.0,0.0452,0.0
283,0.006,0.7228,0.0,0.0,0.2488,0.0224
284,0.6718,0.0,0.025,0.0048,0.1168,0.1814
285,0.4336,0.5664,0.0,0.0,0.0,0.0
286,0.0678,0.0522,0.0002,0.2702,0.6094,0.0002
287,0.8716,0.0064,0.0272,0.0342,0.0598,0.0008
288,0.4704,0.5296,0.0,0.0,0.0,0.0
289,0.2556,0.217,0.1374,0.2332,0.071,0.086
290,0.1718,0.6426,0.0078,0.0,0.1778,0.0
291,0.893,0.107,0.0,0.0,0.0,0.0
292,0.0036,0.4506,0.1532,0.0374,0.1224,0.2328
293,0.026,0.0026,0.333,0.0152,0.0058,0.6174
294,0.0026,0.3814,0.0,0.5356,0.0,0.0806
295,0.3642,0.0,0.0016,0.0338,0.5766,0.0238
296,0.2854,0.0838,0.0408,0.0878,0.2506,0.2516
297,0.3054,0.2242,0.0356,0.0346,0.2276,0.1728
298,0.344,0.4562,0.017,0.0,0.1828,0.0
299,0.0048,0.1154,0.0,0.0,0.8798,0.0
300,0.0562,0.016,0.2452,0.2016,0.4424,0.0386
301,0.0,0.0,0.3798,0.6202,0.0,0.0
302,0.3088,0.1486,0.4516,0.0002,0.0014,0.0896
303,0.9668,0.0,0.0,0.0332,0.0,0.0
304,0.0146,0.982,0.0,0.0,0.0,0.0036
305,0.0242,0.0,0.0,0.0066,0.9692,0.0
306,0.6276,0.1106,0.1982,0.0484,0.0,0.0152
307,0.0396,0.0866,0.1414,0.173,0.5548,0.0042
308,0.2512,0.1284,0.1234,0.0002,0.497,0.0
309,0.1136,0.1218,0.0982,0.0376,0.5848,0.0442
310,0.0186,0.0028,0.0004,0.9616,0.0166,0.0
311,0.8198,0.0,0.0,0.024,0.0,0.1562
312,0.2252,0.0704,0.592,0.001,0.0988,0.0126
313,0.447,0.0036,0.5136,0.0,0.036,0.0
314,0.166,0.1006,0.151,0.3168,0.23,0.0358
315,0.702,0.0364,0.024,0.0022,0.1166,0.119
316,0.176,0.0562,0.0118,0.2394,0.5128,0.0038
317,0.0262,0.0064,0.1212,0.6548,0.1576,0.0336
318,0.218,0.0364,0.3374,0.0738,0.0344,0.3
319,0.8216,0.0008,0.0046,0.1732,0.0,0.0
320,0.0,0.0,0.0,0.949,0.051,0.0
321,0.0212,0.1324,0.2732,0.017,0.0412,0.515
322,0.0,0.7458,0.0,0.0326,0.2216,0.0
323,0.02,0.0,0.0,0.1956,0.0004,0.784
324,0.0092,0.4884,0.0244,0.105,0.2136,0.1594
325,0.0288,0.27,0.4684,0.0494,0.1712,0.0122
326,0.0,0.903,0.0064,0.0012,0.0044,0.0852
327,0.0,0.011,0.0,0.989,0.0,0.0
328,0.2478,0.0,0.1894,0.0,0.0,0.5626
329,0.0282,0.0,0.8446,0.0,0.0,0.1272
330,0.683,0.0034,0.0934,0.2174,0.0028,0.0
331,0.1844,0.4712,0.0406,0.0288,0.1996,0.0756
332,0.0,0.0426,0.0174,0.0,0.9256,0.0144
333,0.3222,0.1476,0.0388,0.0442,0.1476,0.2998
334,0.0052,0.2768,0.0948,0.366,0.133,0.1242
335,0.0322,0.0014,0.342,0.2774,0.1068,0.24
336,0.6696,0.0258,0.075,0.0,0.1946,0.0348
337,0.0,0.0,0.6402,0.3598,0.0,0.0
338,0.1932,0.135,0.1528,0.4372,0.0472,0.0348
339,0.9764,0.0006,0.008,0.015,0.0,0.0
340,0.9756,0.0,0.0004,0.0224,0.0,0.0016
341,0.9804,0.0012,0.0166,0.0,0.0006,0.001
342,0.0034,0.0008,0.2346,0.1436,0.0,0.6174
343,0.9354,0.0006,0.0,0.0,0.064,0.0
344,0.0022,0.8566,0.0046,0.0432,0.0004,0.093
345,0.2464,0.002,0.1134,0.1576,0.4368,0.0438
346,0.2768,0.0004,0.7054,0.0,0.0172,0.0
347,0.992,0.0006,0.0,0.0036,0.0022,0.0016
348,0.067,0.261,0.4124,0.136,0.0062,0.1174
349,0.018,0.0176,0.161,0.0506,0.735,0.0182
350,0.4638,0.3824,0.0884,0.0384,0.0,0.027
351,0.0374,0.5654,0.0,0.0,0.3972,0.0
352,0.0,0.6292,0.3708,0.0,0.0,0.0
353,0.0026,0.1652,0.0,0.0016,0.0,0.8306
354,0.0,0.9908,0.0008,0.0,0.0084,0.0
355,0.0,0.4548,0.4684,0.0766,0.0,0.0
356,0.1732,0.006,0.0222,0.7568,0.0418,0.0
357,0.6048,0.0188,0.0412,0.1942,0.1378,0.0032
358,0.9774,0.0052,0.0,0.0028,0.0004,0.0144
359,0.0194,0.0,0.9788,0.0018,0.0,0.0
360,0.038,0.0888,0.243,0.6262,0.0,0.004
361,0.0,0.0126,0.9874,0.0,0.0,0.0
362,0.0362,0.8088,0.0552,0.0,0.0122,0.0874
363,0.0182,0.5786,0.1286,0.0062,0.2682,0.0
364,0.0326,0.0718,0.3664,0.1896,0.3398,0.0
365,0.6762,0.0006,0.1504,0.0148,0.1398,0.0182
366,0.0158,0.3806,0.0358,0.5674,0.0,0.0004
367,0.99,0.0,0.0,0.01,0.0,0.0
368,0.0006,0.1746,0.1054,0.008,0.0004,0.7108
369,0.0008,0.5658,0.0444,0.2314,0.0004,0.157
370,0.0802,0.0,0.8948,0.0,0.0128,0.012
371,0.4162,0.2244,0.0,0.133,0.0226,0.2036
372,0.1218,0.411,0.435,0.0062,0.003,0.0228
373,0.4988,0.3398,0.0074,0.0802,0.0648,0.009
374,0.0168,0.0264,0.0112,0.8878,0.0542,0.0036
375,0.8328,0.1666,0.0004,0.0,0.0,0.0
376,0.0,0.0,0.41,0.5886,0.0014,0.0
377,0.1262,0.0008,0.0792,0.3618,0.4122,0.02
378,0.7306,0.1402,0.0,0.0456,0.0678,0.0158
379,0.9748,0.0,0.0,0.0248,0.0,0.0004
380,0.2326,0.1216,0.4818,0.066,0.0452,0.053
381,0.999,0.0,0.001,0.0,0.0,0.0
382,0.005,0.0048,0.0,0.9786,0.0,0.0118
383,0.9144,0.0,0.0,0.0832,0.0024,0.0
384,0.283,0.0116,0.6942,0.0032,0.0036,0.0044
385,0.1528,0.0058,0.0896,0.0048,0.0388,0.7082
386,0.668,0.0,0.0042,0.005,0.2034,0.1194
387,0.8364,0.0078,0.0008,0.0004,0.0396,0.1152
388,0.5768,0.0,0.0,0.0,0.4232,0.0
389,0.2164,0.055,0.0532,0.4102,0.2396,0.0256
390,0.2374,0.0284,0.033,0.6514,0.0302,0.0196
391,0.9856,0.0006,0.0062,0.0076,0.0,0.0
392,0.8488,0.1512,0.0,0.0,0.0,0.0
393,0.0716,0.6734,0.154,0.0832,0.017,0.0008
394,0.3926,0.0232,0.1036,0.3548,0.002,0.1236
395,0.8086,0.0,0.1914,0.0,0.0,0.0
396,0.6106,0.0,0.0022,0.0,0.387,0.0
397,0.7144,0.0212,0.0724,0.071,0.0736,0.0476
398,0.8608,0.0644,0.0,0.0748,0.0,0.0
399,0.2816,0.031,0.0,0.0,0.683,0.0046
400,0.6826,0.0382,0.1948,0.0564,0.015,0.0132
401,0.251,0.5414,0.001,0.1682,0.0108,0.0276
402,0.9866,0.0,0.0,0.0134,0.0,0.0
403,0.832,0.1544,0.0,0.0062,0.0076,0.0
404,0.086,0.7178,0.1546,0.0,0.0158,0.0258
405,0.1352,0.044,0.6822,0.0,0.1186,0.02
406,0.185,0.053,0.0998,0.0892,0.472,0.101
407,0.0028,0.1156,0.5364,0.0192,0.326,0.0
408,0.3044,0.0454,0.095,0.5402,0.0076,0.0076
409,0.564,0.0466,0.1444,0.1788,0.0068,0.0594
410,0.001,0.0086,0.9124,0.0,0.0036,0.0744
411,0.0,0.4362,0.0,0.4406,0.1232,0.0
412,0.007,0.0788,0.5598,0.2994,0.0,0.055
413,0.028,0.8386,0.043,0.0,0.0056,0.0846
414,0.4458,0.0262,0.3748,0.109,0.0158,0.0286
415,0.1088,0.0,0.3034,0.5666,0.0206,0.0006
416,0.0,0.3396,0.0,0.0,0.0,0.6604
417,0.9252,0.0,0.0,0.0,0.0,0.0748
418,0.0522,0.5172,0.0,0.0,0.3922,0.0384
419,0.0004,0.0,0.8626,0.0,0.137,0.0
420,0.0038,0.0,0.0978,0.0,0.0024,0.896
421,0.1138,0.4296,0.1,0.0166,0.1404,0.1996
422,0.0148,0.0,0.985,0.0004,0.0,0.0
423,0.112,0.0002,0.5922,0.0002,0.0612,0.234
424,0.9554,0.0,0.0048,0.0056,0.0,0.0342
425,0.0554,0.0,0.2752,0.0078,0.0742,0.5874
426,0.0436,0.9414,0.0,0.0132,0.0016,0.0
427,0.0028,0.0038,0.0,0.0,0.0006,0.9926
428,0.0,0.0,0.0,0.0,0.0202,0.9798
429,0.0,0.0,0.25,0.0,0.4882,0.2618
430,0.908,0.0548,0.0196,0.002,0.0154,0.0
431,0.0,0.5938,0.0,0.1546,0.0,0.2518
432,0.1876,0.0764,0.2948,0.1918,0.2416,0.008
433,0.168,0.5776,0.061,0.0784,0.0318,0.0832
434,0.0002,0.0272,0.0,0.0,0.0096,0.963
435,0.0008,0.0,0.9774,0.0002,0.0,0.0216
436,0.01,0.0,0.8076,0.1822,0.0,0.0
437,0.075,0.0,0.0886,0.0,0.8364,0.0
438,0.2178,0.053,0.1628,0.0956,0.4656,0.0054
439,0.3198,0.4682,0.063,0.0308,0.0778,0.0406
440,0.0,0.8628,0.0,0.0012,0.135,0.001
441,0.1526,0.1946,0.0058,0.24,0.407,0.0
442,0.0,0.0014,0.077,0.0,0.871,0.0504
443,0.2392,0.6994,0.0162,0.0018,0.043,0.0004
444,0.0,0.0,0.012,0.64,0.348,0.0
445,0.0912,0.1366,0.0,0.1006,0.3272,0.3444
446,0.0598,0.0032,0.287,0.3512,0.0696,0.2292
447,0.0038,0.0012,0.0,0.0004,0.9898,0.005
448,0.6226,0.156,0.016,0.1454,0.011,0.0488
449,0.0216,0.0628,0.0052,0.783,0.1058,0.0214
450,0.009,0.6892,0.1384,0.0024,0.0,0.1608
451,0.0,0.8798,0.0,0.1194,0.0008,0.0
452,0.6794,0.0,0.0,0.0,0.3206,0.0
453,0.0636,0.013,0.0,0.0,0.0008,0.9226
454,0.0,0.0002,0.0,0.0034,0.002,0.9942
455,0.7386,0.002,0.0264,0.0002,0.0,0.233
456,0.9358,0.0478,0.0032,0.0052,0.008,0.0
457,0.192,0.0,0.808,0.0,0.0,0.0
458,0.1256,0.0676,0.0448,0.0202,0.7348,0.0068
459,0.7934,0.1026,0.004,0.0238,0.0028,0.0734
460,0.0848,0.6114,0.0014,0.2988,0.0032,0.0002
461,0.077,0.1262,0.43,0.0532,0.0028,0.3108
462,0.6858,0.0022,0.107,0.0646,0.12,0.0202
463,0.379,0.0056,0.5014,0.0074,0.1024,0.0044
464,0.0,0.0234,0.7348,0.2418,0.0,0.0
465,0.3094,0.0084,0.01,0.0106,0.2194,0.4422
466,0.2882,0.3148,0.0096,0.2346,0.043,0.1098
467,0.0,0.936,0.0062,0.0578,0.0,0.0
468,0.362,0.2974,0.1212,0.0212,0.1974,0.0008
469,0.0164,0.0006,0.068,0.1908,0.7182,0.006
470,0.1882,0.2492,0.0066,0.0006,0.2792,0.2764
